,repos/AlexaRevolution/book_samples_v1/Ch_16/CuriosidadesdelAjolote,AskForName,1,name,AMAZON.SearchQuery
,repos/AlexaRevolution/book_samples_v1/Ch_17/CuriosidadesdelAjolote,AskForName,1,name,AMAZON.SearchQuery
,repos/AlexaRevolution/book_samples_v1/Ch_18/CuriosidadesdelAjolote,AskForName,1,name,AMAZON.SearchQuery
,repos/alexa-samples/skill-sample-nodejs-first-skill/final,CaptureBirthdayIntent,1,month,AMAZON.Month
,repos/alexa-samples/skill-sample-nodejs-first-skill/final,CaptureBirthdayIntent,1,day,AMAZON.Ordinal
,repos/alexa-samples/skill-sample-nodejs-first-skill/final,CaptureBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/alexa-samples/skill-sample-nodejs-first-skill/i18n,CaptureBirthdayIntent,1,month,AMAZON.Month
,repos/alexa-samples/skill-sample-nodejs-first-skill/i18n,CaptureBirthdayIntent,1,day,AMAZON.Ordinal
,repos/alexa-samples/skill-sample-nodejs-first-skill/i18n,CaptureBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/alexa-samples/skill-sample-nodejs-the-foodie,RecommendationIntent,1,name,AMAZON.US_FIRST_NAME
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/03,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/03,RegisterBirthdayIntent,1,month,MonthType
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/03,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/04,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/04,RegisterBirthdayIntent,1,month,MonthType
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/04,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/05,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/05,RegisterBirthdayIntent,1,month,MonthType
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/05,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/05_intent_chaining,RegisterBirthdayIntent,1,day,AMAZON.Ordinal
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/05_intent_chaining,RegisterBirthdayIntent,1,month,MonthType
,repos/alexa-samples/skill-sample-nodejs-zero-to-hero/05_intent_chaining,RegisterBirthdayIntent,1,year,AMAZON.FOUR_DIGIT_NUMBER
