skill,intent,slot_name,slot_type
repos/baumgab1-matc/ITDEV-140-Programming-With-Java/Alexa,AddNameIntent,name,AMAZON.FirstName
repos/bdeshong/alexa-workshop,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/bhuvneshkr/Alexa-Skill-DayZero,RegisterNewHireIntent,manager_name,AMAZON.US_FIRST_NAME
repos/bhuvneshkr/Alexa-Skill-DayZero,RegisterNameIntent,name,AMAZON.US_FIRST_NAME
repos/bibr/alexa/janlexa,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/briggsrogers/project-murphy-alexa/context/skill-events,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/bur/phx-innovate,ContainerIntent,containerLocation,containerLocationType
repos/carlotorniai/TestSkill,Matchsearch,country,AMAZON.Country
repos/carlotorniai/TestSkill,Stats,country,AMAZON.Country
repos/cbonoz/alexagood18/city-bikes,StationIntent,StreetName,AMAZON.PostalAddress
repos/cbonoz/city-biking,StationIntent,StreetName,AMAZON.PostalAddress
repos/Cheesetouched/Hireoo/Alexa Skill,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/chowdhary987/alexa-cookbook/context/skill-events,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/cjain12/beauty_store,infoDetails,name,AMAZON.FirstName
repos/cjain12/beauty_store,infoDetails,mobile,AMAZON.PhoneNumber
repos/cmartin009/test-app,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/codefellows/john-java/class-44/demo/alexa-test/guessing-game/amzn1.ask.skill.78bd7e12-fd1a-4d8d-af5f-20fdd19bc7e6,NameIntroductionIntent,name,AMAZON.STRING
repos/codefellows/seattle-code-java-401d14/class-44/demo/alexa-test/guessing-game/amzn1.ask.skill.78bd7e12-fd1a-4d8d-af5f-20fdd19bc7e6,NameIntroductionIntent,name,AMAZON.STRING
repos/codefellows/seattle-java-401d11/class-44/demo/alexa-test/guessing-game/amzn1.ask.skill.78bd7e12-fd1a-4d8d-af5f-20fdd19bc7e6,NameIntroductionIntent,name,AMAZON.STRING
repos/codefellows/seattle-java-401d8/class-44/alexa-test/guessing-game/amzn1.ask.skill.78bd7e12-fd1a-4d8d-af5f-20fdd19bc7e6,NameIntroductionIntent,name,AMAZON.STRING
repos/cyberyu/hackathon_vv/alexa-cookbook/context/skill-events,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/danbwhiting/hypersensitivity-to-audio-skill,GetName,name,AMAZON.US_FIRST_NAME
repos/daniel-woods/bodoni-alexa-skill,MeetingIntent,customer,AMAZON.US_FIRST_NAME
repos/daniel-woods/bodoni-alexa-skill,MeetingIntent,employee,AMAZON.US_FIRST_NAME
repos/daniel-woods/bodoni-alexa-skill,MeetingIntent,employee_last_name,AMAZON.US_FIRST_NAME
repos/deepakg23gmail/goingserverless,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/deepakworldphp86/JOVO-VOICE-GOOGLE-ALEXA/CLITest,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/deepakworldphp86/JOVO-VOICE-GOOGLE-ALEXA/JOVOGoogleVoiceProject,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/deepakworldphp86/JOVO-VOICE-GOOGLE-ALEXA/JovoTest,MyNameIsIntent,name,"{'alexa': 'AMAZON.US_FIRST_NAME', 'dialogflow': '@sys.given-name'}"
repos/dkaj1990/react-native-alexa-app/reactn-alexa/alexa,GetDocumentsByTitleIntent,DocumentName,AMAZON.City
repos/Duskamo/TempCli/testSkill,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/EchoSkillTemplates/Alexa-basic-starter,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/eltonkola/alexa_skillz/birthdayday,YourBirthdayDate,birthday,AMAZON.DATE
repos/falent/hack,NameIntent,my_name,AMAZON.US_FIRST_NAME
repos/falent/hackIoT/AlexaNewSkill,NameIntent,name,AMAZON.US_FIRST_NAME
repos/FasihAhmedRaza/hotel-booking--alexa,weatherIntent,cityName,AMAZON.City
repos/Garrachonr/Final-Degree-Project/Alexa Console,NewNameIntent,UserNameSlot,AMAZON.FirstName
repos/garystafford/alexa-skill-azure-facts,AzureFactsIntent,myName,AMAZON.US_FIRST_NAME
repos/geosony/alexa-skill/bluehealth,CreateHCPAppointment,patient_name,AMAZON.FirstName
repos/germanviscuso/PythonMeetup,SayMyNameIntent,name,AMAZON.FirstName
repos/HackathonTeamRed2018/ProsChallenge2018/test,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/jasonwidrig/GenericQuiz,AnswerIntent,citySlot,capitalCities
repos/jasonwidrig/GenericQuiz,AnswerIntent,stateSlot,states
repos/jasonwidrig/StateCapitalsQuiz,AnswerIntent,citySlot,capitalCities
repos/jasonwidrig/StateCapitalsQuiz,AnswerIntent,stateSlot,states
repos/jitenagarwal19/alexa-skill,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/joeysmoll/alexa-ufc-picks,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/jtruong2/OfferAid_AlexaSkill,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/KanuGaba/Amazon-PreOnboarding-Alexa-Skill,RoommateSurveyIntent,office,AMAZON.AT_CITY
repos/KanuGaba/Amazon-PreOnboarding-Alexa-Skill,RoommateSurveyIntent,gender,gender
repos/kavuri/hotbot-conversations,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/kenjorion/alexa_FootballBase,RegisterFavoriteTeam,citySlot,AMAZON.City
repos/lakshyamcs16/Alexa-Skills/my-skill,MyNameIsIntent,name,AMAZON.US_FIRST_NAME
repos/lingqiu3/Nurse-AMIE,AskMetastasesLocationIntent,location,Metastases_Location
repos/lucasagostini/NicaProject,CountryIntent,country,AMAZON.Country
repos/mahithasree-sakthikumar/health,Registration,name,AMAZON.FirstName
repos/mahithasree-sakthikumar/health,Registration,phonenumber,AMAZON.PhoneNumber
repos/mahithasree-sakthikumar/health,Registration,gender,AMAZON.FirstName
repos/mahithasree-sakthikumar/health,Login,password,AMAZON.FirstName
repos/mahithasree-sakthikumar/health,virtualpillbox,virtual_med,AMAZON.FirstName
repos/mahithasree-sakthikumar/health,setReminder,phonenum,AMAZON.PhoneNumber
repos/mahithasree-sakthikumar/health,AddingMedicines,morningslot,AMAZON.FirstName
repos/mahithasree-sakthikumar/health,AddingMedicines,afternoonslot,AMAZON.FirstName
repos/mahithasree-sakthikumar/health,AddingMedicines,eveningslot,AMAZON.FirstName
repos/mahithasree-sakthikumar/health,AddingMedicines,nightslot,AMAZON.FirstName
repos/mahithasree-sakthikumar/healthy/amzn1.ask.skill.3344eb9f-a862-43d5-95c3-b73ec59dcb35,Registration,name,AMAZON.FirstName
repos/mahithasree-sakthikumar/healthy/amzn1.ask.skill.3344eb9f-a862-43d5-95c3-b73ec59dcb35,Registration,phonenumber,AMAZON.PhoneNumber
repos/mahithasree-sakthikumar/healthy/amzn1.ask.skill.3344eb9f-a862-43d5-95c3-b73ec59dcb35,Registration,gender,AMAZON.FirstName
repos/mahithasree-sakthikumar/healthy/amzn1.ask.skill.3344eb9f-a862-43d5-95c3-b73ec59dcb35,Login,password,AMAZON.FirstName
repos/mahithasree-sakthikumar/healthy/amzn1.ask.skill.3344eb9f-a862-43d5-95c3-b73ec59dcb35,virtualpillbox,virtual_med,AMAZON.FirstName
repos/mahithasree-sakthikumar/healthy/amzn1.ask.skill.3344eb9f-a862-43d5-95c3-b73ec59dcb35,setReminder,phonenum,AMAZON.PhoneNumber
