violation,official skills,invocation name violation,policy,
lack a privacy policy,alexa-samples/community-templates/scheduling-skill-template,please set your email address in the alexa companion app.,"{'alexa::profile:mobile_number:read', 'alexa::profile:email:read', 'alexa::profile:name:read'}",
lack a privacy policy,alexa-samples/community-templates/survey-skill-template,,"{'alexa::profile:given_name:read', 'alexa::profile:email:read'}",
lack a privacy policy,alexa-samples/customer-profile-demo,"you can set your email at amazon.com, under log-in and security.","{'alexa::profile:mobile_number:read', 'alexa::profile:email:read', 'alexa::profile:name:read'}",
lack a privacy policy,alexa-samples/dynamic-location-demo,"location demo would like to use your location. to turn on location sharing, please go to your alexa app, and follow the instructions.",{'alexa::devices:all:geolocation:read'},
lack a privacy policy,alexa-samples/person-profile-demo,"welcome to the sample alexa person profile api skill! you can ask for your name, given name or your phone number. what do you want to ask?","{'alexa::profile:mobile_number:read', 'alexa::profile:name:read'}",
lack a privacy policy,alexa-samples/restaurant-finder,"restaurant finder would like to use your location. to turn on location sharing, please go to your alexa app, and follow the instructions.",{'alexa::devices:all:geolocation:read'},
lack a privacy policy,alexa-samples/skill-sample-nodejs-demo-store-amazon-pay,"{producttype} is {productprice} dollars and will ship to your address at {shippingaddress}.<break time="".5s""/>",,
lack a privacy policy,alexa-samples/skill-sample-nodejs-first-skill/final,hello! welcome to cake time. what is your birthday?,,
lack a privacy policy,alexa-samples/skill-sample-nodejs-first-skill/i18n,hello! welcome to cake time. what is your birthday?,,
lack a privacy policy,alexa-samples/skill-sample-nodejs-linked-profile,your street address is %s.,,
lack a privacy policy,alexa-samples/skill-sample-nodejs-the-foodie,to find a restaurant close by i need to know your address. what city do you live in?,{'alexa::devices:all:address:full:read'},
lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/03,welcome to happy birthday. let's have some fun with your birthday!,,
lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/04,welcome to happy birthday. let's have some fun with your birthday!,,
lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/05,welcome to happy birthday. let's have some fun with your birthday!,{'alexa::profile:given_name:read'},
lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/05_intent_chaining,welcome to happy birthday. let's have some fun with your birthday!,{'alexa::profile:given_name:read'},
lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/06,welcome to happy birthday. let's have some fun with your birthday!,{'alexa::profile:given_name:read'},
lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/07,welcome to happy birthday. let's have some fun with your birthday!,{'alexa::profile:given_name:read'},
lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/08,welcome to happy birthday. let's have some fun with your birthday!,{'alexa::profile:given_name:read'},
lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/09,welcome to happy birthday. let's have some fun with your birthday!,{'alexa::profile:given_name:read'},
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
violation,official skills,influenced skills,details,
ask data collection permission lack a privacy policy,alexa/alexa-cookbook/feature-demos/skill-demo-customer-profile,malhotra-vikas/alexa-cookbook/feature-demos/skill-demo-customer-profile,"{'alexa::profile:mobile_number:read', 'alexa::profile:email:read', 'alexa::profile:name:read'}",
ask data collection permission lack a privacy policy,alexa/alexa-cookbook/feature-demos/skill-demo-customer-profile,mobiletta/alexa/templates/skill-demo-customer-profile,"{'alexa::profile:mobile_number:read', 'alexa::profile:email:read', 'alexa::profile:name:read'}",
ask data collection permission lack a privacy policy,alexa/alexa-cookbook/feature-demos/skill-demo-customer-profile,ydsingh/alexa/feature-demos/skill-demo-customer-profile,"{'alexa::profile:mobile_number:read', 'alexa::profile:email:read', 'alexa::profile:name:read'}",
ask data collection permission lack a privacy policy,alexa/alexa-cookbook/feature-demos/skill-demo-dynamic-location,ydsingh/alexa/feature-demos/skill-demo-dynamic-location,{'alexa::devices:all:geolocation:read'},
ask data collection permission lack a privacy policy,alexa/alexa-cookbook/feature-demos/skill-demo-person-profile,ydsingh/alexa/feature-demos/skill-demo-person-profile,"{'alexa::profile:mobile_number:read', 'alexa::profile:name:read'}",
ask data collection permission lack a privacy policy,alexa-samples/community-templates/survey-skill-template,katukota/ZipSkill/skill-package,"{'alexa::profile:given_name:read', 'alexa::profile:email:read'}",
ask data collection permission lack a privacy policy,alexa-samples/customer-profile-demo,malhotra-vikas/alexa-cookbook/feature-demos/skill-demo-customer-profile,"{'alexa::profile:mobile_number:read', 'alexa::profile:email:read', 'alexa::profile:name:read'}",
ask data collection permission lack a privacy policy,alexa-samples/customer-profile-demo,mobiletta/alexa/templates/skill-demo-customer-profile,"{'alexa::profile:mobile_number:read', 'alexa::profile:email:read', 'alexa::profile:name:read'}",
ask data collection permission lack a privacy policy,alexa-samples/customer-profile-demo,ydsingh/alexa/feature-demos/skill-demo-customer-profile,"{'alexa::profile:mobile_number:read', 'alexa::profile:email:read', 'alexa::profile:name:read'}",
ask data collection permission lack a privacy policy,alexa-samples/dynamic-location-demo,ydsingh/alexa/feature-demos/skill-demo-dynamic-location,{'alexa::devices:all:geolocation:read'},
ask data collection permission lack a privacy policy,alexa-samples/person-profile-demo,ydsingh/alexa/feature-demos/skill-demo-person-profile,"{'alexa::profile:mobile_number:read', 'alexa::profile:name:read'}",
ask data collection permission lack a privacy policy,alexa-samples/restaurant-finder/skill-package,Anand-lab/Restaurant-Finder/skill-package,{'alexa::devices:all:geolocation:read'},
ask data collection permission lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/05/skill-package,AdminAlexaBledina/AlexaDocumentation/05/skill-package,{'alexa::profile:given_name:read'},
ask data collection permission lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/05/skill-package,renatospaka/zero-2-hero/skill-package,{'alexa::profile:given_name:read'},
ask data collection permission lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/05_intent_chaining/skill-package,AdminAlexaBledina/AlexaDocumentation/05_intent_chaining/skill-package,{'alexa::profile:given_name:read'},
ask data collection permission lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/06/skill-package,AdminAlexaBledina/AlexaDocumentation/06/skill-package,{'alexa::profile:given_name:read'},
ask data collection permission lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/06/skill-package,AdminAlexaBledina/AlexaDocumentation/07/skill-package,{'alexa::profile:given_name:read'},
ask data collection permission lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/06/skill-package,venztech103/api-reminder/skill-package,{'alexa::profile:given_name:read'},
ask data collection permission lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/08/skill-package,AdminAlexaBledina/AlexaDocumentation/08/skill-package,{'alexa::profile:given_name:read'},
ask data collection permission lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/08/skill-package,AdminAlexaBledina/AlexaDocumentation/09/skill-package,{'alexa::profile:given_name:read'},
ask data in output lack a privacy policy,alexa-labs/skill-sample-nodejs-level-up-riddles/Step 1 - Add Advanced Voice Design,CamiWilliams/LevelUpRiddles-Workshop/Step 1 - Add Advanced Voice Design,what is your name and favorite color?,
ask data in output lack a privacy policy,alexa-labs/skill-sample-nodejs-level-up-riddles/Step 1 - Add Advanced Voice Design,CamiWilliams/LevelUpRiddles-Workshop/Step 2 - Add ISP,what is your name and favorite color?,
ask data in output lack a privacy policy,alexa-labs/skill-sample-nodejs-level-up-riddles/Step 1 - Add Advanced Voice Design,CamiWilliams/LevelUpRiddles-Workshop/Step 3 - Add APL,what is your name and favorite color?,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-first-skill/final,cook-a-waffle/cake-walk-template,hello! welcome to cake time. what is your birthday?,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-first-skill/final,ehelbig1/cake_walk,hello! welcome to cake time. what is your birthday?,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-first-skill/final,felixreynoso/krello/amzn1.ask.skill.a5988adc-23db-448b-85d4-549f871c7ecc,hello! welcome to cake time. what is your birthday?,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-first-skill/final,jetannenbaum/Alexa/birthday,hello! welcome to cake time. what is your birthday?,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-first-skill/final,junw10/noah.care,hello! welcome to cake time. what is your birthday?,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-first-skill/final,Sethlimlee/AlexaCakeTimeSkill,hello! welcome to cake time. what is your birthday?,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-the-foodie,tienwei/smart-claims/alexa-skill/foodie,to find a restaurant close by i need to know your address. what city do you live in?,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/03,AdminAlexaBledina/AlexaDocumentation/03,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/03,fgozalof/CursodeAlexa/03,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/03,germanviscuso/ASKVideoSeries/03,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/03,Hasi57/zerohero3,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/03,perezthedev/skill-sample-nodejs-zero-to-hero/03,welcome to happy birthday. let's have some fun with your birthday!,
ask data in output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/04,AdminAlexaBledina/AlexaDocumentation/04,welcome to happy birthday. let's have some fun with your birthday!,
