output lack a privacy policy,aarjo/alexa-league-rank-finder
output lack a privacy policy,Ehabdiab2000/AEXA-Nurse-Skill-2
output lack a privacy policy,AndrewSenol/theStudyBarAlexa/theStudyBar
output lack a privacy policy,danielbarnes175/Zoro.com-Internship
output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/08
output lack a privacy policy,AlexaGroover/AlexaProject/26_ElicitSlot Directive
output lack a privacy policy,niteshbharti005101/XploVR/AWS Backend/VG_1
output lack a privacy policy,annalenastrx/ClothingRecommendation/VSCodeDownload
output lack a privacy policy,SmartPracticeschool/SPS-4168-Develop-Alexa-Skill-for-COVID-19-Recommendations/AMAZONSKill
output lack a privacy policy,felixreynoso/krello/amzn1.ask.skill.a5988adc-23db-448b-85d4-549f871c7ecc
output lack a privacy policy,fgozalof/CursodeAlexa/05
output lack a privacy policy,amzjctuan/Math-tutor
output lack a privacy policy,charliewynn/okc-trash-day
output lack a privacy policy,makyfj/AlexaSkillPython
output lack a privacy policy,aishu-S/Alexa_course_contents/Learn Alexa the fun way/section 1/1.3
output lack a privacy policy,alexa-samples/skill-sample-nodejs-first-skill/final
output lack a privacy policy,EchoSkillTemplates/Alexa-API-Starter
output lack a privacy policy,SebastienCoste/AlexaOblicStrategy
output lack a privacy policy,TheDreamSaver/alexa-workshop-convoke/Hello Slots
output lack a privacy policy,cook-a-waffle/zero-to-hero-tutorial
output lack a privacy policy,SmartPracticeschool/SPS-4181-Develop-Alexa-Skill-for-COVID-19-Recommendations
output lack a privacy policy,SmartPracticeschool/SPS-4165-Develop-Alexa-Skill-for-COVID-19-Recommendations/alexa
output lack a privacy policy,germanviscuso/ASKVideoSeries/05_intent_chaining
output lack a privacy policy,microsaurav/Alexa/client
output lack a privacy policy,inobtsp/crowdsoucing_project
output lack a privacy policy,inobtsp/crowdsoucing_platform
output lack a privacy policy,CamiWilliams/LevelUpRiddles-Workshop/Step 3 - Add APL
output lack a privacy policy,alexa-samples/skill-sample-nodejs-zero-to-hero/03
output lack a privacy policy,xarques/skill-joyeux-anniversaire/6-Reminder API
output lack a privacy policy,MEHEDl/AlexaAudioPlayer
output lack a privacy policy,Peter-Aloisi-PFG/Reinhart_FoodService
output lack a privacy policy,andijakl/VoiceLearning
